"Step","train-PMAES8 - best_qwk_high","train-PMAES8 - best_qwk_high__MIN","train-PMAES8 - best_qwk_high__MAX","train-PMAES5 - best_qwk_high","train-PMAES5 - best_qwk_high__MIN","train-PMAES5 - best_qwk_high__MAX","train-PMAES7 - best_qwk_high","train-PMAES7 - best_qwk_high__MIN","train-PMAES7 - best_qwk_high__MAX","train-PMAES6 - best_qwk_high","train-PMAES6 - best_qwk_high__MIN","train-PMAES6 - best_qwk_high__MAX","train-PMAES4 - best_qwk_high","train-PMAES4 - best_qwk_high__MIN","train-PMAES4 - best_qwk_high__MAX","train-PMAES3 - best_qwk_high","train-PMAES3 - best_qwk_high__MIN","train-PMAES3 - best_qwk_high__MAX","train-PMAES2 - best_qwk_high","train-PMAES2 - best_qwk_high__MIN","train-PMAES2 - best_qwk_high__MAX","train-PMAES1 - best_qwk_high","train-PMAES1 - best_qwk_high__MIN","train-PMAES1 - best_qwk_high__MAX"
"0","28.866441011916788","28.866441011916788","28.866441011916788","71.08718841050614","71.08718841050614","71.08718841050614","65.83049384197675","65.83049384197675","65.83049384197675","58.55531517615289","58.55531517615289","58.55531517615289","60.01588764871906","60.01588764871906","60.01588764871906","59.22332289483909","59.22332289483909","59.22332289483909","62.875915197278665","62.875915197278665","62.875915197278665","79.5000930909192","79.5000930909192","79.5000930909192"
"1","25.696418962325286","25.696418962325286","25.696418962325286","73.40178089917706","73.40178089917706","73.40178089917706","66.30554156226253","66.30554156226253","66.30554156226253","59.517197131032916","59.517197131032916","59.517197131032916","61.07415834164662","61.07415834164662","61.07415834164662","61.35695089239991","61.35695089239991","61.35695089239991","61.4342215944813","61.4342215944813","61.4342215944813","80.13093837368712","80.13093837368712","80.13093837368712"
"2","23.53083645922197","23.53083645922197","23.53083645922197","74.2306027969683","74.2306027969683","74.2306027969683","65.12142716669248","65.12142716669248","65.12142716669248","59.652917187537604","59.652917187537604","59.652917187537604","62.24936501382581","62.24936501382581","62.24936501382581","61.734778748597044","61.734778748597044","61.734778748597044","58.89479327134568","58.89479327134568","58.89479327134568","79.04926745614101","79.04926745614101","79.04926745614101"
"3","22.68972871890078","22.68972871890078","22.68972871890078","74.80738037307381","74.80738037307381","74.80738037307381","69.66918426541832","69.66918426541832","69.66918426541832","61.230608700246336","61.230608700246336","61.230608700246336","62.40073756055153","62.40073756055153","62.40073756055153","62.695028873874946","62.695028873874946","62.695028873874946","54.58463150494065","54.58463150494065","54.58463150494065","77.85949830832668","77.85949830832668","77.85949830832668"
"4","21.582832323034328","21.582832323034328","21.582832323034328","74.83880689195877","74.83880689195877","74.83880689195877","69.1712157768826","69.1712157768826","69.1712157768826","62.32100112033072","62.32100112033072","62.32100112033072","61.00554604204691","61.00554604204691","61.00554604204691","63.48058541956598","63.48058541956598","63.48058541956598","49.73245644739676","49.73245644739676","49.73245644739676","75.77227933628684","75.77227933628684","75.77227933628684"
"5","20.898490751392174","20.898490751392174","20.898490751392174","75.82530205604104","75.82530205604104","75.82530205604104","68.61269531926258","68.61269531926258","68.61269531926258","62.63653224436256","62.63653224436256","62.63653224436256","60.5697988501411","60.5697988501411","60.5697988501411","62.82641776323472","62.82641776323472","62.82641776323472","46.21763350329336","46.21763350329336","46.21763350329336","71.85636106437485","71.85636106437485","71.85636106437485"
"6","19.06831094962138","19.06831094962138","19.06831094962138","74.2792999642839","74.2792999642839","74.2792999642839","62.98215717107132","62.98215717107132","62.98215717107132","62.62735148500851","62.62735148500851","62.62735148500851","60.72718818719114","60.72718818719114","60.72718818719114","66.5766889704059","66.5766889704059","66.5766889704059","39.1102998696219","39.1102998696219","39.1102998696219","64.67285536230969","64.67285536230969","64.67285536230969"
"7","17.357106685457502","17.357106685457502","17.357106685457502","70.66506485898618","70.66506485898618","70.66506485898618","64.843900785136","64.843900785136","64.843900785136","59.42112763863411","59.42112763863411","59.42112763863411","59.726253605265356","59.726253605265356","59.726253605265356","61.54910572588727","61.54910572588727","61.54910572588727","37.245099684403904","37.245099684403904","37.245099684403904","59.3552373559612","59.3552373559612","59.3552373559612"
"8","18.66280002542784","18.66280002542784","18.66280002542784","75.78086658098917","75.78086658098917","75.78086658098917","4.219744345069721","4.219744345069721","4.219744345069721","61.47430237917022","61.47430237917022","61.47430237917022","56.69792813005774","56.69792813005774","56.69792813005774","61.34588004589898","61.34588004589898","61.34588004589898","0","0","0","54.441478728119655","54.441478728119655","54.441478728119655"
