"Step","train-deBERTa8 - best_test_qwk_high","train-deBERTa8 - best_test_qwk_high__MIN","train-deBERTa8 - best_test_qwk_high__MAX","train-deBERTa7 - best_test_qwk_high","train-deBERTa7 - best_test_qwk_high__MIN","train-deBERTa7 - best_test_qwk_high__MAX","train-deBERTa6 - best_test_qwk_high","train-deBERTa6 - best_test_qwk_high__MIN","train-deBERTa6 - best_test_qwk_high__MAX","train-deBERTa5 - best_test_qwk_high","train-deBERTa5 - best_test_qwk_high__MIN","train-deBERTa5 - best_test_qwk_high__MAX","train-deBERTa4 - best_test_qwk_high","train-deBERTa4 - best_test_qwk_high__MIN","train-deBERTa4 - best_test_qwk_high__MAX","train-deBERTa3 - best_test_qwk_high","train-deBERTa3 - best_test_qwk_high__MIN","train-deBERTa3 - best_test_qwk_high__MAX","train-deBERTa2 - best_test_qwk_high","train-deBERTa2 - best_test_qwk_high__MIN","train-deBERTa2 - best_test_qwk_high__MAX","train-deBERTa1 - best_test_qwk_high","train-deBERTa1 - best_test_qwk_high__MIN","train-deBERTa1 - best_test_qwk_high__MAX"
"0","0.40027895841911665","0.40027895841911665","0.40027895841911665","0.5655203591940741","0.5655203591940741","0.5655203591940741","0.5435933837192639","0.5435933837192639","0.5435933837192639","0.7065313808443459","0.7065313808443459","0.7065313808443459","0.615322916694314","0.615322916694314","0.615322916694314","0.6093588965020102","0.6093588965020102","0.6093588965020102","0.39228328308996097","0.39228328308996097","0.39228328308996097","0.3944744290329162","0.3944744290329162","0.3944744290329162"
"1","0.421801709197148","0.421801709197148","0.421801709197148","0.578309559390908","0.578309559390908","0.578309559390908","0","0","0","0.66253006621755","0.66253006621755","0.66253006621755","0.61169476195153","0.61169476195153","0.61169476195153","0.48419233464370337","0.48419233464370337","0.48419233464370337","0.45916381648779336","0.45916381648779336","0.45916381648779336","0.3565760428783328","0.3565760428783328","0.3565760428783328"
"2","0.5649831535107664","0.5649831535107664","0.5649831535107664","0.6692127733570049","0.6692127733570049","0.6692127733570049","0.6465204005214545","0.6465204005214545","0.6465204005214545","0.7346783955678785","0.7346783955678785","0.7346783955678785","0.6692999569666048","0.6692999569666048","0.6692999569666048","0.5863765162522399","0.5863765162522399","0.5863765162522399","0.42216587994014987","0.42216587994014987","0.42216587994014987","0.47114010997436284","0.47114010997436284","0.47114010997436284"
"3","0.4989793314621077","0.4989793314621077","0.4989793314621077","0.6137629407408212","0.6137629407408212","0.6137629407408212","0.6442349548729468","0.6442349548729468","0.6442349548729468","0.7128751301620265","0.7128751301620265","0.7128751301620265","0.608429721941208","0.608429721941208","0.608429721941208","0.6183750280852942","0.6183750280852942","0.6183750280852942","0.4732790472706788","0.4732790472706788","0.4732790472706788","0.4601171023749441","0.4601171023749441","0.4601171023749441"
"4","0.46568492443232967","0.46568492443232967","0.46568492443232967","0","0","0","0.6319132237121974","0.6319132237121974","0.6319132237121974","0.701925815033887","0.701925815033887","0.701925815033887","0.5757756641281597","0.5757756641281597","0.5757756641281597","0.5931204634820632","0.5931204634820632","0.5931204634820632","0.45938420103622213","0.45938420103622213","0.45938420103622213","0.3267691627880328","0.3267691627880328","0.3267691627880328"
"5","0.342505516906937","0.342505516906937","0.342505516906937","0.5841268518406382","0.5841268518406382","0.5841268518406382","0.6265389709876883","0.6265389709876883","0.6265389709876883","0.6527931591430015","0.6527931591430015","0.6527931591430015","0.6183833240040976","0.6183833240040976","0.6183833240040976","0.007621520454424435","0.007621520454424435","0.007621520454424435","0.5070029796523209","0.5070029796523209","0.5070029796523209","0.3405207831170386","0.3405207831170386","0.3405207831170386"
"6","0","0","0","0.5586802924433166","0.5586802924433166","0.5586802924433166","0.6342083130515521","0.6342083130515521","0.6342083130515521","0.630753688149978","0.630753688149978","0.630753688149978","0.5902938217678809","0.5902938217678809","0.5902938217678809","0.6217112653649605","0.6217112653649605","0.6217112653649605","0.4380246397708388","0.4380246397708388","0.4380246397708388","0.17049176989144355","0.17049176989144355","0.17049176989144355"
"7","0.318480036403171","0.318480036403171","0.318480036403171","0.43534866100644554","0.43534866100644554","0.43534866100644554","0.6609194357958618","0.6609194357958618","0.6609194357958618","0.561954546474323","0.561954546474323","0.561954546474323","0.6988072032637371","0.6988072032637371","0.6988072032637371","0.6099668146680807","0.6099668146680807","0.6099668146680807","0.43739080425308063","0.43739080425308063","0.43739080425308063","0.06851961969812159","0.06851961969812159","0.06851961969812159"
"8","0.052671803947925706","0.052671803947925706","0.052671803947925706","0.32052913969459684","0.32052913969459684","0.32052913969459684","0.4350884877498551","0.4350884877498551","0.4350884877498551","0.4755764645189601","0.4755764645189601","0.4755764645189601","0.6137172083800063","0.6137172083800063","0.6137172083800063","0.5167655201561394","0.5167655201561394","0.5167655201561394","0.4873481231782383","0.4873481231782383","0.4873481231782383","0.037549497129045865","0.037549497129045865","0.037549497129045865"
"9","0.017425244320885658","0.017425244320885658","0.017425244320885658","0.13853505149195666","0.13853505149195666","0.13853505149195666","0.37813803047938677","0.37813803047938677","0.37813803047938677","0","0","0","0.61903747546521","0.61903747546521","0.61903747546521","0.40536037171655115","0.40536037171655115","0.40536037171655115","0.1406529482214237","0.1406529482214237","0.1406529482214237","0.00016087439458900565","0.00016087439458900565","0.00016087439458900565"
