"Step","train-BERT8 - best_test_qwk_low","train-BERT8 - best_test_qwk_low__MIN","train-BERT8 - best_test_qwk_low__MAX","train-BERT7 - best_test_qwk_low","train-BERT7 - best_test_qwk_low__MIN","train-BERT7 - best_test_qwk_low__MAX","train-BERT6 - best_test_qwk_low","train-BERT6 - best_test_qwk_low__MIN","train-BERT6 - best_test_qwk_low__MAX","train-BERT5 - best_test_qwk_low","train-BERT5 - best_test_qwk_low__MIN","train-BERT5 - best_test_qwk_low__MAX","train-BERT4 - best_test_qwk_low","train-BERT4 - best_test_qwk_low__MIN","train-BERT4 - best_test_qwk_low__MAX","train-BERT3 - best_test_qwk_low","train-BERT3 - best_test_qwk_low__MIN","train-BERT3 - best_test_qwk_low__MAX","train-BERT2 - best_test_qwk_low","train-BERT2 - best_test_qwk_low__MIN","train-BERT2 - best_test_qwk_low__MAX","train-BERT1 - best_test_qwk_low","train-BERT1 - best_test_qwk_low__MIN","train-BERT1 - best_test_qwk_low__MAX"
"0","0.4471775864388981","0.4471775864388981","0.4471775864388981","0.5864173589854493","0.5864173589854493","0.5864173589854493","0.6360096869608409","0.6360096869608409","0.6360096869608409","0.6498182609274405","0.6498182609274405","0.6498182609274405","0.5907721021558014","0.5907721021558014","0.5907721021558014","0.581114210139291","0.581114210139291","0.581114210139291","0.5269407478711112","0.5269407478711112","0.5269407478711112","0.416293751713845","0.416293751713845","0.416293751713845"
"1","0.441777964773114","0.441777964773114","0.441777964773114","0.5564745817655787","0.5564745817655787","0.5564745817655787","0.605186658733817","0.605186658733817","0.605186658733817","0.6012896867085102","0.6012896867085102","0.6012896867085102","0.5829968987952909","0.5829968987952909","0.5829968987952909","0.502260569572627","0.502260569572627","0.502260569572627","0.5859996643211254","0.5859996643211254","0.5859996643211254","0.5310480389379901","0.5310480389379901","0.5310480389379901"
"2","0.4875615230408441","0.4875615230408441","0.4875615230408441","0.6358359196410439","0.6358359196410439","0.6358359196410439","0.6425956301084189","0.6425956301084189","0.6425956301084189","0.6842007025263547","0.6842007025263547","0.6842007025263547","0.5290816658229789","0.5290816658229789","0.5290816658229789","0.4463890408231873","0.4463890408231873","0.4463890408231873","0.5015025555116377","0.5015025555116377","0.5015025555116377","0.42379447922954283","0.42379447922954283","0.42379447922954283"
"3","0.5651090513624477","0.5651090513624477","0.5651090513624477","0.5855754631695198","0.5855754631695198","0.5855754631695198","0.5835750734356941","0.5835750734356941","0.5835750734356941","0.69760829080943","0.69760829080943","0.69760829080943","0.5822793779005917","0.5822793779005917","0.5822793779005917","0.5507152253183036","0.5507152253183036","0.5507152253183036","0.48721331762200915","0.48721331762200915","0.48721331762200915","0.41312648454191914","0.41312648454191914","0.41312648454191914"
"4","0.45875470148541625","0.45875470148541625","0.45875470148541625","0.63234978857317","0.63234978857317","0.63234978857317","0.6046785374217","0.6046785374217","0.6046785374217","0.6918188190836967","0.6918188190836967","0.6918188190836967","0.5669169919649887","0.5669169919649887","0.5669169919649887","0.53551424293716","0.53551424293716","0.53551424293716","0.5660902873562039","0.5660902873562039","0.5660902873562039","0.5175987889590676","0.5175987889590676","0.5175987889590676"
"5","0.5431387597055473","0.5431387597055473","0.5431387597055473","0.5584518639636791","0.5584518639636791","0.5584518639636791","0.603088802738629","0.603088802738629","0.603088802738629","0.7262117937047874","0.7262117937047874","0.7262117937047874","0.4915989940614367","0.4915989940614367","0.4915989940614367","0.5211389065806931","0.5211389065806931","0.5211389065806931","0.518809210315039","0.518809210315039","0.518809210315039","0.5378478968076448","0.5378478968076448","0.5378478968076448"
"6","0.5285649636076414","0.5285649636076414","0.5285649636076414","0.6907476392118242","0.6907476392118242","0.6907476392118242","0.6020589837180224","0.6020589837180224","0.6020589837180224","0.714642069108635","0.714642069108635","0.714642069108635","0.4366233086109758","0.4366233086109758","0.4366233086109758","0.5044255767113113","0.5044255767113113","0.5044255767113113","0.5612752324232954","0.5612752324232954","0.5612752324232954","0.6607977927555442","0.6607977927555442","0.6607977927555442"
"7","0.3089841197643589","0.3089841197643589","0.3089841197643589","0.7266686085671688","0.7266686085671688","0.7266686085671688","0.6020112366584377","0.6020112366584377","0.6020112366584377","0.7207957994941319","0.7207957994941319","0.7207957994941319","0.49421820322150856","0.49421820322150856","0.49421820322150856","0.5891732602587447","0.5891732602587447","0.5891732602587447","0.5412344593121061","0.5412344593121061","0.5412344593121061","0.5259700888624474","0.5259700888624474","0.5259700888624474"
"8","0.5926029898261356","0.5926029898261356","0.5926029898261356","0.6103562008513157","0.6103562008513157","0.6103562008513157","0.5114382341836048","0.5114382341836048","0.5114382341836048","0.7151925175117321","0.7151925175117321","0.7151925175117321","0.5310672365452833","0.5310672365452833","0.5310672365452833","0.5717210293415617","0.5717210293415617","0.5717210293415617","0.36714909022288467","0.36714909022288467","0.36714909022288467","0.5278048867752785","0.5278048867752785","0.5278048867752785"
"9","0.44041497589040046","0.44041497589040046","0.44041497589040046","0.6843943219069374","0.6843943219069374","0.6843943219069374","0.5529613919405232","0.5529613919405232","0.5529613919405232","0.6805851556071916","0.6805851556071916","0.6805851556071916","0.5516575063345388","0.5516575063345388","0.5516575063345388","0.5713657433346708","0.5713657433346708","0.5713657433346708","0.4665794962796924","0.4665794962796924","0.4665794962796924","0.5915528549802833","0.5915528549802833","0.5915528549802833"
