"Step","train-BERT8 - best_test_qwk_high","train-BERT8 - best_test_qwk_high__MIN","train-BERT8 - best_test_qwk_high__MAX","train-BERT7 - best_test_qwk_high","train-BERT7 - best_test_qwk_high__MIN","train-BERT7 - best_test_qwk_high__MAX","train-BERT6 - best_test_qwk_high","train-BERT6 - best_test_qwk_high__MIN","train-BERT6 - best_test_qwk_high__MAX","train-BERT5 - best_test_qwk_high","train-BERT5 - best_test_qwk_high__MIN","train-BERT5 - best_test_qwk_high__MAX","train-BERT4 - best_test_qwk_high","train-BERT4 - best_test_qwk_high__MIN","train-BERT4 - best_test_qwk_high__MAX","train-BERT3 - best_test_qwk_high","train-BERT3 - best_test_qwk_high__MIN","train-BERT3 - best_test_qwk_high__MAX","train-BERT2 - best_test_qwk_high","train-BERT2 - best_test_qwk_high__MIN","train-BERT2 - best_test_qwk_high__MAX","train-BERT1 - best_test_qwk_high","train-BERT1 - best_test_qwk_high__MIN","train-BERT1 - best_test_qwk_high__MAX"
"0","0.4471775864388981","0.4471775864388981","0.4471775864388981","0.5864173589854493","0.5864173589854493","0.5864173589854493","0.6360096869608409","0.6360096869608409","0.6360096869608409","0.6498182609274405","0.6498182609274405","0.6498182609274405","0.5907721021558014","0.5907721021558014","0.5907721021558014","0.581114210139291","0.581114210139291","0.581114210139291","0.5269407478711112","0.5269407478711112","0.5269407478711112","0.416293751713845","0.416293751713845","0.416293751713845"
"1","0.47402983578987723","0.47402983578987723","0.47402983578987723","0.5768420925269808","0.5768420925269808","0.5768420925269808","0.6336303070266129","0.6336303070266129","0.6336303070266129","0.6217205699556686","0.6217205699556686","0.6217205699556686","0.5625950291498492","0.5625950291498492","0.5625950291498492","0.553668844942147","0.553668844942147","0.553668844942147","0.5442213521641053","0.5442213521641053","0.5442213521641053","0.472027412475576","0.472027412475576","0.472027412475576"
"2","0.45598258326543567","0.45598258326543567","0.45598258326543567","0.5771571847986263","0.5771571847986263","0.5771571847986263","0.6119845946130922","0.6119845946130922","0.6119845946130922","0.6028979829723577","0.6028979829723577","0.6028979829723577","0.6027803515819472","0.6027803515819472","0.6027803515819472","0.5858463728817244","0.5858463728817244","0.5858463728817244","0.5875264705210572","0.5875264705210572","0.5875264705210572","0.5078843629927756","0.5078843629927756","0.5078843629927756"
"3","0.3878242543208171","0.3878242543208171","0.3878242543208171","0.5991326017235739","0.5991326017235739","0.5991326017235739","0.5909109990287014","0.5909109990287014","0.5909109990287014","0.6297518676073406","0.6297518676073406","0.6297518676073406","0.6158114203227665","0.6158114203227665","0.6158114203227665","0.5965944080780171","0.5965944080780171","0.5965944080780171","0.6079657592180697","0.6079657592180697","0.6079657592180697","0.4381975423584096","0.4381975423584096","0.4381975423584096"
"4","0.42890552337684046","0.42890552337684046","0.42890552337684046","0.5985508788227281","0.5985508788227281","0.5985508788227281","0.5994591499367594","0.5994591499367594","0.5994591499367594","0.6353823681650284","0.6353823681650284","0.6353823681650284","0.603047573424258","0.603047573424258","0.603047573424258","0.6021127420537882","0.6021127420537882","0.6021127420537882","0.5191800228852546","0.5191800228852546","0.5191800228852546","0.44738004162532985","0.44738004162532985","0.44738004162532985"
"5","0.3863666781575965","0.3863666781575965","0.3863666781575965","0.6038221729476241","0.6038221729476241","0.6038221729476241","0.6082282136051655","0.6082282136051655","0.6082282136051655","0.6985200590315652","0.6985200590315652","0.6985200590315652","0.573242606238328","0.573242606238328","0.573242606238328","0.595554405245583","0.595554405245583","0.595554405245583","0.5499537323779446","0.5499537323779446","0.5499537323779446","0.40872906923081664","0.40872906923081664","0.40872906923081664"
"6","0.5135400134875012","0.5135400134875012","0.5135400134875012","0.6222862656025512","0.6222862656025512","0.6222862656025512","0.5792734145799837","0.5792734145799837","0.5792734145799837","0.7177230836798447","0.7177230836798447","0.7177230836798447","0.6056959620342097","0.6056959620342097","0.6056959620342097","0.557983453819602","0.557983453819602","0.557983453819602","0.46438750879134383","0.46438750879134383","0.46438750879134383","0.44869087181251294","0.44869087181251294","0.44869087181251294"
"7","0.4891851926822703","0.4891851926822703","0.4891851926822703","0.6545021699568354","0.6545021699568354","0.6545021699568354","0.5164677943790572","0.5164677943790572","0.5164677943790572","0.718412169018658","0.718412169018658","0.718412169018658","0.5914146610800061","0.5914146610800061","0.5914146610800061","0.6408797842350158","0.6408797842350158","0.6408797842350158","0.4894190505222289","0.4894190505222289","0.4894190505222289","0.43844963183755464","0.43844963183755464","0.43844963183755464"
"8","0.43644695443056636","0.43644695443056636","0.43644695443056636","0.6518961855268895","0.6518961855268895","0.6518961855268895","0.5623108113137245","0.5623108113137245","0.5623108113137245","0.705285752294","0.705285752294","0.705285752294","0.6256888047845364","0.6256888047845364","0.6256888047845364","0.6311232507263531","0.6311232507263531","0.6311232507263531","0.4673994851524791","0.4673994851524791","0.4673994851524791","0.44072619048580186","0.44072619048580186","0.44072619048580186"
"9","0.4891354271779828","0.4891354271779828","0.4891354271779828","0.6295811796301518","0.6295811796301518","0.6295811796301518","0.515881394097477","0.515881394097477","0.515881394097477","0.7262820968774452","0.7262820968774452","0.7262820968774452","0.6192903158195188","0.6192903158195188","0.6192903158195188","0.5974226739127693","0.5974226739127693","0.5974226739127693","0.419949768061314","0.419949768061314","0.419949768061314","0.46802386944903573","0.46802386944903573","0.46802386944903573"
