"Step","train-PMAES8 - best_qwk_high","train-PMAES8 - best_qwk_high__MIN","train-PMAES8 - best_qwk_high__MAX","train-PMAES2 - best_qwk_high","train-PMAES2 - best_qwk_high__MIN","train-PMAES2 - best_qwk_high__MAX","train-PMAES4 - best_qwk_high","train-PMAES4 - best_qwk_high__MIN","train-PMAES4 - best_qwk_high__MAX","train-PMAES1 - best_qwk_high","train-PMAES1 - best_qwk_high__MIN","train-PMAES1 - best_qwk_high__MAX","train-PMAES7 - best_qwk_high","train-PMAES7 - best_qwk_high__MIN","train-PMAES7 - best_qwk_high__MAX","train-PMAES3 - best_qwk_high","train-PMAES3 - best_qwk_high__MIN","train-PMAES3 - best_qwk_high__MAX","train-PMAES5 - best_qwk_high","train-PMAES5 - best_qwk_high__MIN","train-PMAES5 - best_qwk_high__MAX","train-PMAES6 - best_qwk_high","train-PMAES6 - best_qwk_high__MIN","train-PMAES6 - best_qwk_high__MAX"
"0","35.921474282647026","35.921474282647026","35.921474282647026","63.797407308698965","63.797407308698965","63.797407308698965","58.1762971006387","58.1762971006387","58.1762971006387","79.36335118873629","79.36335118873629","79.36335118873629","65.4878692532558","65.4878692532558","65.4878692532558","58.10656911694162","58.10656911694162","58.10656911694162","70.94613512523959","70.94613512523959","70.94613512523959","57.22454531121679","57.22454531121679","57.22454531121679"
"1","33.98062982116865","33.98062982116865","33.98062982116865","63.37555843049276","63.37555843049276","63.37555843049276","58.7245693639783","58.7245693639783","58.7245693639783","78.23148039043306","78.23148039043306","78.23148039043306","65.86114067917097","65.86114067917097","65.86114067917097","60.525821645562814","60.525821645562814","60.525821645562814","70.52893738140418","70.52893738140418","70.52893738140418","56.310672698869745","56.310672698869745","56.310672698869745"
"2","32.67799147571561","32.67799147571561","32.67799147571561","63.9298682196889","63.9298682196889","63.9298682196889","59.122589502735345","59.122589502735345","59.122589502735345","77.97062556632694","77.97062556632694","77.97062556632694","67.97209728349608","67.97209728349608","67.97209728349608","59.00042901773765","59.00042901773765","59.00042901773765","70.35155299346982","70.35155299346982","70.35155299346982","56.80046928685159","56.80046928685159","56.80046928685159"
"3","32.434699108666045","32.434699108666045","32.434699108666045","63.446512910080564","63.446512910080564","63.446512910080564","55.223200689829085","55.223200689829085","55.223200689829085","79.63882160609211","79.63882160609211","79.63882160609211","67.94698141554498","67.94698141554498","67.94698141554498","58.00249991554338","58.00249991554338","58.00249991554338","69.87434750307042","69.87434750307042","69.87434750307042","58.064558241815625","58.064558241815625","58.064558241815625"
"4","36.52280308158309","36.52280308158309","36.52280308158309","63.134391603376905","63.134391603376905","63.134391603376905","55.768610603493975","55.768610603493975","55.768610603493975","79.01930362588855","79.01930362588855","79.01930362588855","67.71378425290882","67.71378425290882","67.71378425290882","54.984067521086274","54.984067521086274","54.984067521086274","69.65400324499491","69.65400324499491","69.65400324499491","57.90413180616707","57.90413180616707","57.90413180616707"
"5","33.24622657734123","33.24622657734123","33.24622657734123","60.999567841725586","60.999567841725586","60.999567841725586","53.33786020670696","53.33786020670696","53.33786020670696","78.24282348603579","78.24282348603579","78.24282348603579","66.90915772219265","66.90915772219265","66.90915772219265","59.151700851337985","59.151700851337985","59.151700851337985","70.00316207038409","70.00316207038409","70.00316207038409","57.55463132971508","57.55463132971508","57.55463132971508"
"6","31.237313699024625","31.237313699024625","31.237313699024625","62.65801433771425","62.65801433771425","62.65801433771425","51.515045519573746","51.515045519573746","51.515045519573746","79.1294441489498","79.1294441489498","79.1294441489498","66.53644590837588","66.53644590837588","66.53644590837588","55.5145368690325","55.5145368690325","55.5145368690325","69.90969403037391","69.90969403037391","69.90969403037391","56.462303493977274","56.462303493977274","56.462303493977274"
"7","31.52064264175667","31.52064264175667","31.52064264175667","61.090515851182914","61.090515851182914","61.090515851182914","49.58849892942162","49.58849892942162","49.58849892942162","77.84721357589916","77.84721357589916","77.84721357589916","67.26088849301316","67.26088849301316","67.26088849301316","54.632283843588716","54.632283843588716","54.632283843588716","69.19068022983241","69.19068022983241","69.19068022983241","55.09465424079143","55.09465424079143","55.09465424079143"
"8","29.47079891121286","29.47079891121286","29.47079891121286","60.161298539456624","60.161298539456624","60.161298539456624","51.57041937802915","51.57041937802915","51.57041937802915","76.84536973682599","76.84536973682599","76.84536973682599","63.531322518297294","63.531322518297294","63.531322518297294","55.771550380609455","55.771550380609455","55.771550380609455","67.26834948182571","67.26834948182571","67.26834948182571","52.39143825745216","52.39143825745216","52.39143825745216"
