"Step","train-deBERTa8 - best_test_qwk_high","train-deBERTa8 - best_test_qwk_high__MIN","train-deBERTa8 - best_test_qwk_high__MAX","train-deBERTa7 - best_test_qwk_high","train-deBERTa7 - best_test_qwk_high__MIN","train-deBERTa7 - best_test_qwk_high__MAX","train-deBERTa6 - best_test_qwk_high","train-deBERTa6 - best_test_qwk_high__MIN","train-deBERTa6 - best_test_qwk_high__MAX","train-deBERTa5 - best_test_qwk_high","train-deBERTa5 - best_test_qwk_high__MIN","train-deBERTa5 - best_test_qwk_high__MAX","train-deBERTa4 - best_test_qwk_high","train-deBERTa4 - best_test_qwk_high__MIN","train-deBERTa4 - best_test_qwk_high__MAX","train-deBERTa3 - best_test_qwk_high","train-deBERTa3 - best_test_qwk_high__MIN","train-deBERTa3 - best_test_qwk_high__MAX","train-deBERTa2 - best_test_qwk_high","train-deBERTa2 - best_test_qwk_high__MIN","train-deBERTa2 - best_test_qwk_high__MAX","train-deBERTa1 - best_test_qwk_high","train-deBERTa1 - best_test_qwk_high__MIN","train-deBERTa1 - best_test_qwk_high__MAX"
"0","0.32595208552066435","0.32595208552066435","0.32595208552066435","0.5682889001838842","0.5682889001838842","0.5682889001838842","0.5430005708491099","0.5430005708491099","0.5430005708491099","0.7098500310166354","0.7098500310166354","0.7098500310166354","0.5914412187608089","0.5914412187608089","0.5914412187608089","0.5738326079649378","0.5738326079649378","0.5738326079649378","0.44285541115706495","0.44285541115706495","0.44285541115706495","0.44214226510693644","0.44214226510693644","0.44214226510693644"
"1","0.5180333158173","0.5180333158173","0.5180333158173","0.5705563250945762","0.5705563250945762","0.5705563250945762","0.6273248969530056","0.6273248969530056","0.6273248969530056","0.7221280649757389","0.7221280649757389","0.7221280649757389","0.5700508109064537","0.5700508109064537","0.5700508109064537","0.5509614559424751","0.5509614559424751","0.5509614559424751","0.5249017910985058","0.5249017910985058","0.5249017910985058","0.4158205532961064","0.4158205532961064","0.4158205532961064"
"2","0.36659835809734864","0.36659835809734864","0.36659835809734864","0","0","0","0.630290200991457","0.630290200991457","0.630290200991457","0.6851273681969772","0.6851273681969772","0.6851273681969772","0.6062142353350843","0.6062142353350843","0.6062142353350843","0.569138950087366","0.569138950087366","0.569138950087366","0.5202832142356874","0.5202832142356874","0.5202832142356874","0.4540823303299925","0.4540823303299925","0.4540823303299925"
"3","0.45062215794320304","0.45062215794320304","0.45062215794320304","0.5815662176589977","0.5815662176589977","0.5815662176589977","0.6151859470273515","0.6151859470273515","0.6151859470273515","0.691835066655393","0.691835066655393","0.691835066655393","0.6038795682415989","0.6038795682415989","0.6038795682415989","0.5931045037495704","0.5931045037495704","0.5931045037495704","0.43071757586483206","0.43071757586483206","0.43071757586483206","0.37987440096164554","0.37987440096164554","0.37987440096164554"
"4","0.46158805280166515","0.46158805280166515","0.46158805280166515","0.6330428394057612","0.6330428394057612","0.6330428394057612","0.629454558490997","0.629454558490997","0.629454558490997","0.6918265592307349","0.6918265592307349","0.6918265592307349","0.6085945184134147","0.6085945184134147","0.6085945184134147","0.6143009724372057","0.6143009724372057","0.6143009724372057","0.5182686553164504","0.5182686553164504","0.5182686553164504","0.3666925334664721","0.3666925334664721","0.3666925334664721"
"5","0.37520985441167526","0.37520985441167526","0.37520985441167526","0.5745570345944716","0.5745570345944716","0.5745570345944716","0.5984927634679731","0.5984927634679731","0.5984927634679731","0.7003545479206819","0.7003545479206819","0.7003545479206819","0.5758352141162919","0.5758352141162919","0.5758352141162919","0.5860592429692681","0.5860592429692681","0.5860592429692681","0.45062878716050236","0.45062878716050236","0.45062878716050236","0.40633761743415353","0.40633761743415353","0.40633761743415353"
"6","0.38182752330884795","0.38182752330884795","0.38182752330884795","0.5971480869687134","0.5971480869687134","0.5971480869687134","0.4756672295168729","0.4756672295168729","0.4756672295168729","0.6700757722777827","0.6700757722777827","0.6700757722777827","0.5911662416588206","0.5911662416588206","0.5911662416588206","0.6146479753841809","0.6146479753841809","0.6146479753841809","0.38574273269265785","0.38574273269265785","0.38574273269265785","0.36812727710730553","0.36812727710730553","0.36812727710730553"
"7","0.3842647181705925","0.3842647181705925","0.3842647181705925","0.6886259659710547","0.6886259659710547","0.6886259659710547","0","0","0","0.6273093433344504","0.6273093433344504","0.6273093433344504","0.5781874430821411","0.5781874430821411","0.5781874430821411","0.6009768820879631","0.6009768820879631","0.6009768820879631","0.36169927889673115","0.36169927889673115","0.36169927889673115","0.358160665554103","0.358160665554103","0.358160665554103"
"8","0.3758726666487724","0.3758726666487724","0.3758726666487724","0.7116619247160635","0.7116619247160635","0.7116619247160635","0.5592933646371085","0.5592933646371085","0.5592933646371085","0.6173788924815753","0.6173788924815753","0.6173788924815753","0.6092301666160188","0.6092301666160188","0.6092301666160188","0.6383118983366376","0.6383118983366376","0.6383118983366376","0.37258466037064847","0.37258466037064847","0.37258466037064847","0.4540017093897386","0.4540017093897386","0.4540017093897386"
"9","0.21788880132726848","0.21788880132726848","0.21788880132726848","0.7138652421541978","0.7138652421541978","0.7138652421541978","0.46343205014133526","0.46343205014133526","0.46343205014133526","0.7054536406746984","0.7054536406746984","0.7054536406746984","0.6244405645927342","0.6244405645927342","0.6244405645927342","0.6045092639845301","0.6045092639845301","0.6045092639845301","0.39700200493364535","0.39700200493364535","0.39700200493364535","0.4624141835718132","0.4624141835718132","0.4624141835718132"
