"Step","train-BERT8 - best_test_qwk_low","train-BERT8 - best_test_qwk_low__MIN","train-BERT8 - best_test_qwk_low__MAX","train-BERT7 - best_test_qwk_low","train-BERT7 - best_test_qwk_low__MIN","train-BERT7 - best_test_qwk_low__MAX","train-BERT6 - best_test_qwk_low","train-BERT6 - best_test_qwk_low__MIN","train-BERT6 - best_test_qwk_low__MAX","train-BERT5 - best_test_qwk_low","train-BERT5 - best_test_qwk_low__MIN","train-BERT5 - best_test_qwk_low__MAX","train-BERT4 - best_test_qwk_low","train-BERT4 - best_test_qwk_low__MIN","train-BERT4 - best_test_qwk_low__MAX","train-BERT3 - best_test_qwk_low","train-BERT3 - best_test_qwk_low__MIN","train-BERT3 - best_test_qwk_low__MAX","train-BERT2 - best_test_qwk_low","train-BERT2 - best_test_qwk_low__MIN","train-BERT2 - best_test_qwk_low__MAX","train-BERT1 - best_test_qwk_low","train-BERT1 - best_test_qwk_low__MIN","train-BERT1 - best_test_qwk_low__MAX"
"0","0.4382261976725832","0.4382261976725832","0.4382261976725832","0.5956855905202298","0.5956855905202298","0.5956855905202298","0.6269127469771143","0.6269127469771143","0.6269127469771143","0.5965364290562523","0.5965364290562523","0.5965364290562523","0.5750046937950988","0.5750046937950988","0.5750046937950988","0.5861539030059941","0.5861539030059941","0.5861539030059941","0.5787353377555704","0.5787353377555704","0.5787353377555704","0.4585223240986732","0.4585223240986732","0.4585223240986732"
"1","0.5075573312780359","0.5075573312780359","0.5075573312780359","0.607184963485994","0.607184963485994","0.607184963485994","0.5834634525692541","0.5834634525692541","0.5834634525692541","0.5968135415872265","0.5968135415872265","0.5968135415872265","0.5886684870027685","0.5886684870027685","0.5886684870027685","0.5898350063253419","0.5898350063253419","0.5898350063253419","0.5365778730805499","0.5365778730805499","0.5365778730805499","0.43923900972860275","0.43923900972860275","0.43923900972860275"
"2","0.41590942495353134","0.41590942495353134","0.41590942495353134","0.5698425710656474","0.5698425710656474","0.5698425710656474","0.6537422529185986","0.6537422529185986","0.6537422529185986","0.6035569836809246","0.6035569836809246","0.6035569836809246","0.5697854611602803","0.5697854611602803","0.5697854611602803","0.5233821530484566","0.5233821530484566","0.5233821530484566","0.511506120458842","0.511506120458842","0.511506120458842","0.4019979595172989","0.4019979595172989","0.4019979595172989"
"3","0.4323120993257201","0.4323120993257201","0.4323120993257201","0.6364444403411753","0.6364444403411753","0.6364444403411753","0.5823702661997772","0.5823702661997772","0.5823702661997772","0.5345716981363262","0.5345716981363262","0.5345716981363262","0.5456790241614785","0.5456790241614785","0.5456790241614785","0.441782966949436","0.441782966949436","0.441782966949436","0.3938344118689766","0.3938344118689766","0.3938344118689766","0.3684443984753374","0.3684443984753374","0.3684443984753374"
"4","0.33321279526502634","0.33321279526502634","0.33321279526502634","0.6462013112345089","0.6462013112345089","0.6462013112345089","0.5623198160702645","0.5623198160702645","0.5623198160702645","0.35067659546966734","0.35067659546966734","0.35067659546966734","0.5580099531668048","0.5580099531668048","0.5580099531668048","0.5259098196530678","0.5259098196530678","0.5259098196530678","0.32040065308188026","0.32040065308188026","0.32040065308188026","0.3963139613492207","0.3963139613492207","0.3963139613492207"
"5","0.4033893130762921","0.4033893130762921","0.4033893130762921","0.6250464404020484","0.6250464404020484","0.6250464404020484","0.46974480272674657","0.46974480272674657","0.46974480272674657","0.32796508275725","0.32796508275725","0.32796508275725","0.563881619934572","0.563881619934572","0.563881619934572","0.4729918288801378","0.4729918288801378","0.4729918288801378","0.29606285532272236","0.29606285532272236","0.29606285532272236","0.5263813251044709","0.5263813251044709","0.5263813251044709"
"6","0.27699059251707625","0.27699059251707625","0.27699059251707625","0.6337302023086198","0.6337302023086198","0.6337302023086198","0.45821841677761355","0.45821841677761355","0.45821841677761355","0.1750549698210473","0.1750549698210473","0.1750549698210473","0.5409142395120514","0.5409142395120514","0.5409142395120514","0.38062077429363095","0.38062077429363095","0.38062077429363095","0.1878657437293292","0.1878657437293292","0.1878657437293292","0.562965488699047","0.562965488699047","0.562965488699047"
"7","0.23900761815806315","0.23900761815806315","0.23900761815806315","0.5874055549867192","0.5874055549867192","0.5874055549867192","0.3622498796671938","0.3622498796671938","0.3622498796671938","0.19832197341201496","0.19832197341201496","0.19832197341201496","0.4911011860300556","0.4911011860300556","0.4911011860300556","0.3887808138548867","0.3887808138548867","0.3887808138548867","0.16848211399914503","0.16848211399914503","0.16848211399914503","0.17785884286563325","0.17785884286563325","0.17785884286563325"
"8","0.10815959297534629","0.10815959297534629","0.10815959297534629","0.5718297796537679","0.5718297796537679","0.5718297796537679","0.03336346875851259","0.03336346875851259","0.03336346875851259","0.18212944154916366","0.18212944154916366","0.18212944154916366","0.10233186509237135","0.10233186509237135","0.10233186509237135","0.2707018966628095","0.2707018966628095","0.2707018966628095","0.12804924752331692","0.12804924752331692","0.12804924752331692","0.12376468591160183","0.12376468591160183","0.12376468591160183"
"9","0.24813997023733037","0.24813997023733037","0.24813997023733037","0.6187427593848178","0.6187427593848178","0.6187427593848178","0.15419250525817219","0.15419250525817219","0.15419250525817219","0.17617202924350206","0.17617202924350206","0.17617202924350206","0.0013770269987097852","0.0013770269987097852","0.0013770269987097852","0.10070569832698462","0.10070569832698462","0.10070569832698462","0.00846490971249425","0.00846490971249425","0.00846490971249425","-0.029899006247428916","-0.029899006247428916","-0.029899006247428916"
