"Step","train-PAES8 - best_test_qwk_high","train-PAES8 - best_test_qwk_high__MIN","train-PAES8 - best_test_qwk_high__MAX","train-PAES7 - best_test_qwk_high","train-PAES7 - best_test_qwk_high__MIN","train-PAES7 - best_test_qwk_high__MAX","train-PAES6 - best_test_qwk_high","train-PAES6 - best_test_qwk_high__MIN","train-PAES6 - best_test_qwk_high__MAX","train-PAES5 - best_test_qwk_high","train-PAES5 - best_test_qwk_high__MIN","train-PAES5 - best_test_qwk_high__MAX","train-PAES4 - best_test_qwk_high","train-PAES4 - best_test_qwk_high__MIN","train-PAES4 - best_test_qwk_high__MAX","train-PAES3 - best_test_qwk_high","train-PAES3 - best_test_qwk_high__MIN","train-PAES3 - best_test_qwk_high__MAX","train-PAES2 - best_test_qwk_high","train-PAES2 - best_test_qwk_high__MIN","train-PAES2 - best_test_qwk_high__MAX","train-PAES1 - best_test_qwk_high","train-PAES1 - best_test_qwk_high__MIN","train-PAES1 - best_test_qwk_high__MAX"
"0","0.565548869873745","0.565548869873745","0.565548869873745","0.7360180331048582","0.7360180331048582","0.7360180331048582","0.6039037969766614","0.6039037969766614","0.6039037969766614","0.6974153266801763","0.6974153266801763","0.6974153266801763","0.5918886814865094","0.5918886814865094","0.5918886814865094","0.6132854773331993","0.6132854773331993","0.6132854773331993","0.6268733623496652","0.6268733623496652","0.6268733623496652","0.716010410571465","0.716010410571465","0.716010410571465"
"1","0.5980001028220594","0.5980001028220594","0.5980001028220594","0.7323182864846643","0.7323182864846643","0.7323182864846643","0.6043757883255152","0.6043757883255152","0.6043757883255152","0.6981977900248731","0.6981977900248731","0.6981977900248731","0.6271540478043689","0.6271540478043689","0.6271540478043689","0.6182709524163017","0.6182709524163017","0.6182709524163017","0.5792622310784407","0.5792622310784407","0.5792622310784407","0.6971647119621546","0.6971647119621546","0.6971647119621546"
"2","0.530693059204981","0.530693059204981","0.530693059204981","0.687224044845973","0.687224044845973","0.687224044845973","0.6130259062652759","0.6130259062652759","0.6130259062652759","0.7486156434600131","0.7486156434600131","0.7486156434600131","0.607034336556066","0.607034336556066","0.607034336556066","0.609102335178684","0.609102335178684","0.609102335178684","0.5570854591361334","0.5570854591361334","0.5570854591361334","0.7633779851088758","0.7633779851088758","0.7633779851088758"
"3","0.5462122823077774","0.5462122823077774","0.5462122823077774","0.7252079380612928","0.7252079380612928","0.7252079380612928","0.5639345864850973","0.5639345864850973","0.5639345864850973","0.7015836625855649","0.7015836625855649","0.7015836625855649","0.5842821665301164","0.5842821665301164","0.5842821665301164","0.557642921808184","0.557642921808184","0.557642921808184","0.5934258816020426","0.5934258816020426","0.5934258816020426","0.740603772982283","0.740603772982283","0.740603772982283"
"4","0.5695686707987347","0.5695686707987347","0.5695686707987347","0.7046490444240368","0.7046490444240368","0.7046490444240368","0.5817241418336974","0.5817241418336974","0.5817241418336974","0.7388776682784689","0.7388776682784689","0.7388776682784689","0.6269544120215008","0.6269544120215008","0.6269544120215008","0.572422253100451","0.572422253100451","0.572422253100451","0.5759935270293592","0.5759935270293592","0.5759935270293592","0.7624943198099849","0.7624943198099849","0.7624943198099849"
"5","0.4840028641608986","0.4840028641608986","0.4840028641608986","0.6410512197518234","0.6410512197518234","0.6410512197518234","0.552620155720275","0.552620155720275","0.552620155720275","0.6993010026734342","0.6993010026734342","0.6993010026734342","0.6160644405043648","0.6160644405043648","0.6160644405043648","0.582484350833879","0.582484350833879","0.582484350833879","0.5752588094549129","0.5752588094549129","0.5752588094549129","0.6758820052695408","0.6758820052695408","0.6758820052695408"
"6","0.5088850892168757","0.5088850892168757","0.5088850892168757","0.7226606118394024","0.7226606118394024","0.7226606118394024","0.5561550486235545","0.5561550486235545","0.5561550486235545","0.7583129385468538","0.7583129385468538","0.7583129385468538","0.6204324575417186","0.6204324575417186","0.6204324575417186","0.5894639941325783","0.5894639941325783","0.5894639941325783","0.5480287820047249","0.5480287820047249","0.5480287820047249","0.6755709394223542","0.6755709394223542","0.6755709394223542"
"7","0.3209128250477652","0.3209128250477652","0.3209128250477652","0.7414523032766245","0.7414523032766245","0.7414523032766245","0.5611925773926969","0.5611925773926969","0.5611925773926969","0.6816287906120437","0.6816287906120437","0.6816287906120437","0.5767640062065189","0.5767640062065189","0.5767640062065189","0.6156712383401608","0.6156712383401608","0.6156712383401608","0.5874997579723895","0.5874997579723895","0.5874997579723895","0.7396464654596298","0.7396464654596298","0.7396464654596298"
"8","0.37346735518598384","0.37346735518598384","0.37346735518598384","0.6542983589146996","0.6542983589146996","0.6542983589146996","0.5414279221416908","0.5414279221416908","0.5414279221416908","0.7101661798451946","0.7101661798451946","0.7101661798451946","0.6081158893232719","0.6081158893232719","0.6081158893232719","0.6014527986497671","0.6014527986497671","0.6014527986497671","0.5505735508557158","0.5505735508557158","0.5505735508557158","0.6478251469293199","0.6478251469293199","0.6478251469293199"
"9","0.329624152385423","0.329624152385423","0.329624152385423","0.705141875091488","0.705141875091488","0.705141875091488","0.5536238022719389","0.5536238022719389","0.5536238022719389","0.6163165751578163","0.6163165751578163","0.6163165751578163","0.6077375037122734","0.6077375037122734","0.6077375037122734","0.6060244905439036","0.6060244905439036","0.6060244905439036","0.45806506661918084","0.45806506661918084","0.45806506661918084","0.6168642870551289","0.6168642870551289","0.6168642870551289"
