"Step","train-PMAES8 - best_qwk_low","train-PMAES8 - best_qwk_low__MIN","train-PMAES8 - best_qwk_low__MAX","train-PMAES7 - best_qwk_low","train-PMAES7 - best_qwk_low__MIN","train-PMAES7 - best_qwk_low__MAX","train-PMAES6 - best_qwk_low","train-PMAES6 - best_qwk_low__MIN","train-PMAES6 - best_qwk_low__MAX","train-PMAES5 - best_qwk_low","train-PMAES5 - best_qwk_low__MIN","train-PMAES5 - best_qwk_low__MAX","train-PMAES4 - best_qwk_low","train-PMAES4 - best_qwk_low__MIN","train-PMAES4 - best_qwk_low__MAX","train-PMAES3 - best_qwk_low","train-PMAES3 - best_qwk_low__MIN","train-PMAES3 - best_qwk_low__MAX","train-PMAES2 - best_qwk_low","train-PMAES2 - best_qwk_low__MIN","train-PMAES2 - best_qwk_low__MAX","train-PMAES1 - best_qwk_low","train-PMAES1 - best_qwk_low__MIN","train-PMAES1 - best_qwk_low__MAX"
"0","33.63690557594605","33.63690557594605","33.63690557594605","70.35836938742273","70.35836938742273","70.35836938742273","58.69915301816341","58.69915301816341","58.69915301816341","74.81511889982045","74.81511889982045","74.81511889982045","61.28929393364593","61.28929393364593","61.28929393364593","55.5612960167478","55.5612960167478","55.5612960167478","61.85868501505853","61.85868501505853","61.85868501505853","80.35902299593303","80.35902299593303","80.35902299593303"
"1","36.07445938556977","36.07445938556977","36.07445938556977","70.36681619865963","70.36681619865963","70.36681619865963","58.094344304568615","58.094344304568615","58.094344304568615","76.72070087084252","76.72070087084252","76.72070087084252","56.70628856645992","56.70628856645992","56.70628856645992","54.42390935202006","54.42390935202006","54.42390935202006","56.19668095961303","56.19668095961303","56.19668095961303","79.15632793210547","79.15632793210547","79.15632793210547"
"2","35.75795246696665","35.75795246696665","35.75795246696665","69.21242293053288","69.21242293053288","69.21242293053288","56.775118839036864","56.775118839036864","56.775118839036864","77.13737166235444","77.13737166235444","77.13737166235444","51.656084644568125","51.656084644568125","51.656084644568125","52.96005142214365","52.96005142214365","52.96005142214365","47.65131433443489","47.65131433443489","47.65131433443489","78.59569722477161","78.59569722477161","78.59569722477161"
"3","32.49679837797363","32.49679837797363","32.49679837797363","68.1512362196553","68.1512362196553","68.1512362196553","53.62107366147855","53.62107366147855","53.62107366147855","77.35564010743062","77.35564010743062","77.35564010743062","48.76642491078022","48.76642491078022","48.76642491078022","42.880658642113524","42.880658642113524","42.880658642113524","43.58530424120662","43.58530424120662","43.58530424120662","76.35936278613664","76.35936278613664","76.35936278613664"
"4","33.14925850471526","33.14925850471526","33.14925850471526","62.37900963546732","62.37900963546732","62.37900963546732","49.55112144112628","49.55112144112628","49.55112144112628","77.49309354856183","77.49309354856183","77.49309354856183","41.18503949156489","41.18503949156489","41.18503949156489","45.513413053578844","45.513413053578844","45.513413053578844","37.80084020498216","37.80084020498216","37.80084020498216","72.48392559658669","72.48392559658669","72.48392559658669"
"5","32.360217806463176","32.360217806463176","32.360217806463176","59.9869924254038","59.9869924254038","59.9869924254038","45.58631767445554","45.58631767445554","45.58631767445554","76.91351585302245","76.91351585302245","76.91351585302245","37.6497717152938","37.6497717152938","37.6497717152938","39.58024427329012","39.58024427329012","39.58024427329012","31.215578967837832","31.215578967837832","31.215578967837832","68.98003494059184","68.98003494059184","68.98003494059184"
"6","33.15475092047117","33.15475092047117","33.15475092047117","52.37531763789131","52.37531763789131","52.37531763789131","46.603103554586255","46.603103554586255","46.603103554586255","75.96981039996295","75.96981039996295","75.96981039996295","36.577371661565685","36.577371661565685","36.577371661565685","28.137794905124856","28.137794905124856","28.137794905124856","28.861878031687883","28.861878031687883","28.861878031687883","64.2778308388274","64.2778308388274","64.2778308388274"
"7","32.823542447396115","32.823542447396115","32.823542447396115","50.92115893448097","50.92115893448097","50.92115893448097","43.595752399815666","43.595752399815666","43.595752399815666","76.31972768045665","76.31972768045665","76.31972768045665","32.17608369327517","32.17608369327517","32.17608369327517","29.530590149139492","29.530590149139492","29.530590149139492","23.7979566400102","23.7979566400102","23.7979566400102","56.24765440800952","56.24765440800952","56.24765440800952"
"8","43.675468078242254","43.675468078242254","43.675468078242254","16.674962243398827","16.674962243398827","16.674962243398827","25.291777079671228","25.291777079671228","25.291777079671228","75.68471285074953","75.68471285074953","75.68471285074953","0","0","0","23.744117832469925","23.744117832469925","23.744117832469925","14.108119805435226","14.108119805435226","14.108119805435226","45.980736242926554","45.980736242926554","45.980736242926554"
