"Step","train-BERT8 - best_test_qwk_high","train-BERT8 - best_test_qwk_high__MIN","train-BERT8 - best_test_qwk_high__MAX","train-BERT7 - best_test_qwk_high","train-BERT7 - best_test_qwk_high__MIN","train-BERT7 - best_test_qwk_high__MAX","train-BERT6 - best_test_qwk_high","train-BERT6 - best_test_qwk_high__MIN","train-BERT6 - best_test_qwk_high__MAX","train-BERT5 - best_test_qwk_high","train-BERT5 - best_test_qwk_high__MIN","train-BERT5 - best_test_qwk_high__MAX","train-BERT4 - best_test_qwk_high","train-BERT4 - best_test_qwk_high__MIN","train-BERT4 - best_test_qwk_high__MAX","train-BERT3 - best_test_qwk_high","train-BERT3 - best_test_qwk_high__MIN","train-BERT3 - best_test_qwk_high__MAX","train-BERT2 - best_test_qwk_high","train-BERT2 - best_test_qwk_high__MIN","train-BERT2 - best_test_qwk_high__MAX","train-BERT1 - best_test_qwk_high","train-BERT1 - best_test_qwk_high__MIN","train-BERT1 - best_test_qwk_high__MAX"
"0","0.4382261976725832","0.4382261976725832","0.4382261976725832","0.5956855905202298","0.5956855905202298","0.5956855905202298","0.6269127469771143","0.6269127469771143","0.6269127469771143","0.5965364290562523","0.5965364290562523","0.5965364290562523","0.5750046937950988","0.5750046937950988","0.5750046937950988","0.5861539030059941","0.5861539030059941","0.5861539030059941","0.5787353377555704","0.5787353377555704","0.5787353377555704","0.4585223240986732","0.4585223240986732","0.4585223240986732"
"1","0.4945481008600821","0.4945481008600821","0.4945481008600821","0.4956805266617207","0.4956805266617207","0.4956805266617207","0.6524498864953254","0.6524498864953254","0.6524498864953254","0.6873177003377341","0.6873177003377341","0.6873177003377341","0.6075291028825084","0.6075291028825084","0.6075291028825084","0.6116811913189177","0.6116811913189177","0.6116811913189177","0.5547305168708019","0.5547305168708019","0.5547305168708019","0.4110289712444134","0.4110289712444134","0.4110289712444134"
"2","0.5031834444287647","0.5031834444287647","0.5031834444287647","0.4848846670894984","0.4848846670894984","0.4848846670894984","0.6405786213488375","0.6405786213488375","0.6405786213488375","0.7437679440155647","0.7437679440155647","0.7437679440155647","0.5665946256272432","0.5665946256272432","0.5665946256272432","0.6247306070247952","0.6247306070247952","0.6247306070247952","0.5642197093419883","0.5642197093419883","0.5642197093419883","0.48387038459000387","0.48387038459000387","0.48387038459000387"
"3","0.5363161694435181","0.5363161694435181","0.5363161694435181","0.60857439419329","0.60857439419329","0.60857439419329","0.5864641573007091","0.5864641573007091","0.5864641573007091","0.7567275431006933","0.7567275431006933","0.7567275431006933","0.6356043889877703","0.6356043889877703","0.6356043889877703","0.5863684701504249","0.5863684701504249","0.5863684701504249","0.5690413278087934","0.5690413278087934","0.5690413278087934","0.48793911127308653","0.48793911127308653","0.48793911127308653"
"4","0.48472099173333516","0.48472099173333516","0.48472099173333516","0.5959527263696993","0.5959527263696993","0.5959527263696993","0.605348691875528","0.605348691875528","0.605348691875528","0.7376354124122372","0.7376354124122372","0.7376354124122372","0.6119369000775585","0.6119369000775585","0.6119369000775585","0.6335594951295299","0.6335594951295299","0.6335594951295299","0.48432961598627444","0.48432961598627444","0.48432961598627444","0.5841600217588048","0.5841600217588048","0.5841600217588048"
"5","0.4713243811153602","0.4713243811153602","0.4713243811153602","0.5545639855978339","0.5545639855978339","0.5545639855978339","0.5785492768487831","0.5785492768487831","0.5785492768487831","0.7104941499549257","0.7104941499549257","0.7104941499549257","0.6292877268379674","0.6292877268379674","0.6292877268379674","0.667132623694185","0.667132623694185","0.667132623694185","0.5668833714030843","0.5668833714030843","0.5668833714030843","0.5278143086812026","0.5278143086812026","0.5278143086812026"
"6","0.27357348408030635","0.27357348408030635","0.27357348408030635","0.6224602887652828","0.6224602887652828","0.6224602887652828","0.518273473709617","0.518273473709617","0.518273473709617","0.6777314871320304","0.6777314871320304","0.6777314871320304","0.621697313113349","0.621697313113349","0.621697313113349","0.6668642850959285","0.6668642850959285","0.6668642850959285","0.5439859629173998","0.5439859629173998","0.5439859629173998","0.5047307040011831","0.5047307040011831","0.5047307040011831"
"7","0.2680447547135998","0.2680447547135998","0.2680447547135998","0.4321537038448555","0.4321537038448555","0.4321537038448555","0.4005785399919125","0.4005785399919125","0.4005785399919125","0.6689317304881337","0.6689317304881337","0.6689317304881337","0.6238376513246389","0.6238376513246389","0.6238376513246389","0.6376933283704089","0.6376933283704089","0.6376933283704089","0.5007139218724019","0.5007139218724019","0.5007139218724019","0.567162666854095","0.567162666854095","0.567162666854095"
"8","0.3473026717498826","0.3473026717498826","0.3473026717498826","0.5403972865408095","0.5403972865408095","0.5403972865408095","0.43862220468432633","0.43862220468432633","0.43862220468432633","0.4897786384833828","0.4897786384833828","0.4897786384833828","0.6236169215310011","0.6236169215310011","0.6236169215310011","0.6671582562518941","0.6671582562518941","0.6671582562518941","0.5438737963994191","0.5438737963994191","0.5438737963994191","0.6271302142495919","0.6271302142495919","0.6271302142495919"
"9","0.22525296899244562","0.22525296899244562","0.22525296899244562","0.5012240792720701","0.5012240792720701","0.5012240792720701","0.46500494877291865","0.46500494877291865","0.46500494877291865","0.4460258494958462","0.4460258494958462","0.4460258494958462","0.529780446612873","0.529780446612873","0.529780446612873","0.6698696494871659","0.6698696494871659","0.6698696494871659","0.5204258959523789","0.5204258959523789","0.5204258959523789","0.6293327944896857","0.6293327944896857","0.6293327944896857"
