"Step","train-MLP8 - QWK[Low]","train-MLP8 - QWK[Low]__MIN","train-MLP8 - QWK[Low]__MAX","train-MLP7 - QWK[Low]","train-MLP7 - QWK[Low]__MIN","train-MLP7 - QWK[Low]__MAX","train-MLP6 - QWK[Low]","train-MLP6 - QWK[Low]__MIN","train-MLP6 - QWK[Low]__MAX","train-MLP5 - QWK[Low]","train-MLP5 - QWK[Low]__MIN","train-MLP5 - QWK[Low]__MAX","train-MLP4 - QWK[Low]","train-MLP4 - QWK[Low]__MIN","train-MLP4 - QWK[Low]__MAX","train-MLP3 - QWK[Low]","train-MLP3 - QWK[Low]__MIN","train-MLP3 - QWK[Low]__MAX","train-MLP2 - QWK[Low]","train-MLP2 - QWK[Low]__MIN","train-MLP2 - QWK[Low]__MAX","train-MLP1 - QWK[Low]","train-MLP1 - QWK[Low]__MIN","train-MLP1 - QWK[Low]__MAX"
"0","0.31844803334574634","0.31844803334574634","0.31844803334574634","0.7103839186750472","0.7103839186750472","0.7103839186750472","0.5175168845192895","0.5175168845192895","0.5175168845192895","0.7104546270166223","0.7104546270166223","0.7104546270166223","0.6169428459482007","0.6169428459482007","0.6169428459482007","0.5693590361445784","0.5693590361445784","0.5693590361445784","0.21639593642754507","0.21639593642754507","0.21639593642754507","0.5510327304162193","0.5510327304162193","0.5510327304162193"
"1","0.30192702420011686","0.30192702420011686","0.30192702420011686","0.7372855878830067","0.7372855878830067","0.7372855878830067","0.5144134003071144","0.5144134003071144","0.5144134003071144","0.7014909116257995","0.7014909116257995","0.7014909116257995","0.5938238487400994","0.5938238487400994","0.5938238487400994","0.49288452270271477","0.49288452270271477","0.49288452270271477","0.26652980016125505","0.26652980016125505","0.26652980016125505","0.3840451770009887","0.3840451770009887","0.3840451770009887"
"2","0.3430828965782995","0.3430828965782995","0.3430828965782995","0.7117653109224159","0.7117653109224159","0.7117653109224159","0.5405954824526087","0.5405954824526087","0.5405954824526087","0.7224244385127665","0.7224244385127665","0.7224244385127665","0.5861277730655908","0.5861277730655908","0.5861277730655908","0.5274703544479986","0.5274703544479986","0.5274703544479986","0.2463177124961261","0.2463177124961261","0.2463177124961261","0.5207698415015403","0.5207698415015403","0.5207698415015403"
"3","0.47838762523997314","0.47838762523997314","0.47838762523997314","0.7311551674778127","0.7311551674778127","0.7311551674778127","0.5464101964845567","0.5464101964845567","0.5464101964845567","0.6881327030585594","0.6881327030585594","0.6881327030585594","0.603369559121134","0.603369559121134","0.603369559121134","0.5370551065239738","0.5370551065239738","0.5370551065239738","0.19769087410415298","0.19769087410415298","0.19769087410415298","0.42617959318333387","0.42617959318333387","0.42617959318333387"
"4","0.44391362083912156","0.44391362083912156","0.44391362083912156","0.7240378765549602","0.7240378765549602","0.7240378765549602","0.491336238099791","0.491336238099791","0.491336238099791","0.7232018837039982","0.7232018837039982","0.7232018837039982","0.5729838721292304","0.5729838721292304","0.5729838721292304","0.5164750019686658","0.5164750019686658","0.5164750019686658","0.2757953522860881","0.2757953522860881","0.2757953522860881","0.47536139699816093","0.47536139699816093","0.47536139699816093"
"5","0.44105208312146815","0.44105208312146815","0.44105208312146815","0.7333379288978938","0.7333379288978938","0.7333379288978938","0.4857271921274918","0.4857271921274918","0.4857271921274918","0.7174381986180485","0.7174381986180485","0.7174381986180485","0.5845930533955417","0.5845930533955417","0.5845930533955417","0.5549826485817816","0.5549826485817816","0.5549826485817816","0.29020178063567137","0.29020178063567137","0.29020178063567137","0.37306664986481564","0.37306664986481564","0.37306664986481564"
"6","0.302976403103268","0.302976403103268","0.302976403103268","0.6831341222629967","0.6831341222629967","0.6831341222629967","0.4852770196168974","0.4852770196168974","0.4852770196168974","0.7078917460324281","0.7078917460324281","0.7078917460324281","0.5620938180763106","0.5620938180763106","0.5620938180763106","0.49457367080406966","0.49457367080406966","0.49457367080406966","0.2016124152368347","0.2016124152368347","0.2016124152368347","0.3598655321477672","0.3598655321477672","0.3598655321477672"
"7","0.38403636532306695","0.38403636532306695","0.38403636532306695","0.5754450348900175","0.5754450348900175","0.5754450348900175","0.5257508619519056","0.5257508619519056","0.5257508619519056","0.6971687689003903","0.6971687689003903","0.6971687689003903","0.5450965181320395","0.5450965181320395","0.5450965181320395","0.5086012340181922","0.5086012340181922","0.5086012340181922","0.2807442482464999","0.2807442482464999","0.2807442482464999","0.4704710001131378","0.4704710001131378","0.4704710001131378"
"8","0.4539384807242012","0.4539384807242012","0.4539384807242012","0.6786578504286198","0.6786578504286198","0.6786578504286198","0.5637746232604484","0.5637746232604484","0.5637746232604484","0.6956630606848961","0.6956630606848961","0.6956630606848961","0.5735911079756535","0.5735911079756535","0.5735911079756535","0.48656734508829036","0.48656734508829036","0.48656734508829036","0.14118138932727964","0.14118138932727964","0.14118138932727964","0.36843142270463725","0.36843142270463725","0.36843142270463725"
"9","0.29183602430408406","0.29183602430408406","0.29183602430408406","0.5824689039042878","0.5824689039042878","0.5824689039042878","0.4637198020697204","0.4637198020697204","0.4637198020697204","0.6040649423686411","0.6040649423686411","0.6040649423686411","0.5449291637519242","0.5449291637519242","0.5449291637519242","0.5073970835744546","0.5073970835744546","0.5073970835744546","0.19861962684176215","0.19861962684176215","0.19861962684176215","0.26390918991785506","0.26390918991785506","0.26390918991785506"
