"Step","train-PMAES8 - best_qwk_low","train-PMAES8 - best_qwk_low__MIN","train-PMAES8 - best_qwk_low__MAX","train-PMAES5 - best_qwk_low","train-PMAES5 - best_qwk_low__MIN","train-PMAES5 - best_qwk_low__MAX","train-PMAES7 - best_qwk_low","train-PMAES7 - best_qwk_low__MIN","train-PMAES7 - best_qwk_low__MAX","train-PMAES6 - best_qwk_low","train-PMAES6 - best_qwk_low__MIN","train-PMAES6 - best_qwk_low__MAX","train-PMAES4 - best_qwk_low","train-PMAES4 - best_qwk_low__MIN","train-PMAES4 - best_qwk_low__MAX","train-PMAES3 - best_qwk_low","train-PMAES3 - best_qwk_low__MIN","train-PMAES3 - best_qwk_low__MAX","train-PMAES2 - best_qwk_low","train-PMAES2 - best_qwk_low__MIN","train-PMAES2 - best_qwk_low__MAX","train-PMAES1 - best_qwk_low","train-PMAES1 - best_qwk_low__MIN","train-PMAES1 - best_qwk_low__MAX"
"0","31.275692059031044","31.275692059031044","31.275692059031044","63.72153754809351","63.72153754809351","63.72153754809351","67.54857659834545","67.54857659834545","67.54857659834545","51.4192520351075","51.4192520351075","51.4192520351075","55.481391433037096","55.481391433037096","55.481391433037096","53.594107339095295","53.594107339095295","53.594107339095295","62.606440696669296","62.606440696669296","62.606440696669296","77.170871482037","77.170871482037","77.170871482037"
"1","33.50892863091711","33.50892863091711","33.50892863091711","61.78637673861773","61.78637673861773","61.78637673861773","69.43391973977674","69.43391973977674","69.43391973977674","46.48980101470745","46.48980101470745","46.48980101470745","55.891520743389435","55.891520743389435","55.891520743389435","40.8739092676068","40.8739092676068","40.8739092676068","61.183620886426084","61.183620886426084","61.183620886426084","65.92302959599574","65.92302959599574","65.92302959599574"
"2","36.001152162585996","36.001152162585996","36.001152162585996","60.168825040633365","60.168825040633365","60.168825040633365","65.74875757953882","65.74875757953882","65.74875757953882","43.451215096188655","43.451215096188655","43.451215096188655","55.67537315415401","55.67537315415401","55.67537315415401","16.383951244286433","16.383951244286433","16.383951244286433","60.29947237356596","60.29947237356596","60.29947237356596","65.45728572730535","65.45728572730535","65.45728572730535"
"3","37.66182183952422","37.66182183952422","37.66182183952422","58.88227964043795","58.88227964043795","58.88227964043795","58.255666380891334","58.255666380891334","58.255666380891334","39.17177387021022","39.17177387021022","39.17177387021022","55.585784155135045","55.585784155135045","55.585784155135045","9.468183487973336","9.468183487973336","9.468183487973336","58.744893856884616","58.744893856884616","58.744893856884616","58.28802550361725","58.28802550361725","58.28802550361725"
"4","39.12038262025066","39.12038262025066","39.12038262025066","56.845529862441694","56.845529862441694","56.845529862441694","51.45688117991707","51.45688117991707","51.45688117991707","33.38083840195449","33.38083840195449","33.38083840195449","53.124352285182674","53.124352285182674","53.124352285182674","11.750939428749419","11.750939428749419","11.750939428749419","51.71773795896164","51.71773795896164","51.71773795896164","48.76841043060143","48.76841043060143","48.76841043060143"
"5","41.20579695744981","41.20579695744981","41.20579695744981","54.35408773357449","54.35408773357449","54.35408773357449","43.97707313572708","43.97707313572708","43.97707313572708","30.73543591074557","30.73543591074557","30.73543591074557","50.530349742044756","50.530349742044756","50.530349742044756","9.710124781506657","9.710124781506657","9.710124781506657","44.83404188930926","44.83404188930926","44.83404188930926","38.495961100515395","38.495961100515395","38.495961100515395"
"6","48.161137625121675","48.161137625121675","48.161137625121675","48.7240257334178","48.7240257334178","48.7240257334178","42.508658831869404","42.508658831869404","42.508658831869404","22.903162834798753","22.903162834798753","22.903162834798753","51.4807457185225","51.4807457185225","51.4807457185225","5.196292323083784","5.196292323083784","5.196292323083784","36.593486503008556","36.593486503008556","36.593486503008556","32.323265656893554","32.323265656893554","32.323265656893554"
"7","51.74952153439971","51.74952153439971","51.74952153439971","46.78125228524338","46.78125228524338","46.78125228524338","40.49411866036762","40.49411866036762","40.49411866036762","16.830782218626005","16.830782218626005","16.830782218626005","52.20804775023177","52.20804775023177","52.20804775023177","0.5080354633485773","0.5080354633485773","0.5080354633485773","30.004606572353442","30.004606572353442","30.004606572353442","28.90308649185038","28.90308649185038","28.90308649185038"
"8","52.2568509480769","52.2568509480769","52.2568509480769","44.499102384688236","44.499102384688236","44.499102384688236","40.97604138375072","40.97604138375072","40.97604138375072","11.796406468516329","11.796406468516329","11.796406468516329","54.43988462792741","54.43988462792741","54.43988462792741","0.09414835691139434","0.09414835691139434","0.09414835691139434","26.972588799948728","26.972588799948728","26.972588799948728","29.527616932370783","29.527616932370783","29.527616932370783"
