cluster,values
1,0.7624586
2,0.76508594
3,0.7683488
4,0.7707994
5,0.7731564
6,0.7752844
7,0.77725875
8,0.7790432
9,0.7806589
10,0.7821512
11,0.78339255
12,0.46414348
13,0.47989538
14,0.4959417
15,0.5121406
16,0.5283183
17,0.5442649
18,0.8015979
19,0.80240726
20,0.80310434
21,0.8035355
22,0.8009084
23,0.8018696
24,0.80256015
25,0.80300003
26,0.8012699
27,0.80211073
28,0.80271447
29,0.8033891
30,0.8037332
36,0.7842924
37,0.79081535
38,0.79486746
39,0.79742503
40,0.79891795
41,0.797991
42,0.7983403
43,0.72778034
44,0.75096744
45,0.76700443
46,0.7749432
47,0.78080636
48,0.78414917
49,0.7862272
50,0.78752416
51,0.78827214
52,0.7886527
53,0.7887645
54,0.78878874
55,0.78687793
