cluster,values
1,0.7784785
2,0.7887897
3,0.7919541
4,0.7980676
5,0.8033203
6,0.80835897
7,0.81288075
8,0.8169481
9,0.8206453
10,0.8239548
11,0.8261556
12,0.6772591
13,0.699399
14,0.7198431
15,0.73797214
16,0.7534787
17,0.7654227
18,0.7988219
19,0.805202
20,0.8098718
21,0.81309867
26,0.7040575
27,0.72070277
28,0.73461366
29,0.7475344
30,0.7571602
31,0.53580683
32,0.57852775
33,0.61714786
34,0.6519426
35,0.67940843
36,0.5714302
37,0.7108919
38,0.7731524
39,0.80259657
40,0.8187107
41,0.8200727
42,0.82630223
43,0.55113393
44,0.69327635
45,0.76984096
46,0.7940623
47,0.8143076
48,0.8234165
49,0.83012146
50,0.8351734
51,0.83905494
52,0.84218293
53,0.84463334
54,0.8467826
55,0.84790325
