cluster,values
1,0.574566
2,0.57657045
3,0.5767613
4,0.5770025
5,0.57768035
6,0.577946
7,0.5780867
8,0.5778979
9,0.57737184
10,0.57675654
11,0.57595843
18,0.56988466
19,0.5692597
20,0.5659761
21,0.56294745
22,0.55814105
23,0.55750126
24,0.55452514
25,0.5515445
26,0.55783266
27,0.55806094
28,0.5561004
29,0.5543356
30,0.55268705
31,0.55564946
32,0.5572042
33,0.5552286
34,0.5532499
35,0.5513757
36,0.5625624
37,0.5651431
38,0.5671161
39,0.5682598
40,0.5690607
41,0.56156856
42,0.5627409
43,0.53163016
44,0.53635573
45,0.5537
46,0.5581186
47,0.55941516
48,0.56256527
49,0.5654196
50,0.56726485
51,0.56812274
52,0.5681763
53,0.5684096
54,0.5681818
55,0.5624978
