cluster,values
1,0.28948215
2,0.2880498
3,0.2865473
4,0.28565866
5,0.28497118
6,0.28432292
7,0.28464097
8,0.28539017
9,0.28629524
10,0.2872296
11,0.28825963
12,0.7522634
13,0.7504796
14,0.74826443
15,0.7465297
16,0.7445255
17,0.7396035
22,0.7492478
23,0.7463776
24,0.74672157
25,0.7493943
26,0.7497013
27,0.7477193
28,0.7462533
29,0.7480927
30,0.7500872
31,0.75051624
32,0.74864995
33,0.7470953
34,0.7489406
35,0.7511248
36,0.74743015
37,0.7465407
38,0.74572396
39,0.7460732
40,0.74772257
41,0.7565879
42,0.7572954
43,0.7571143
44,0.7570252
45,0.704833
46,0.3691434
47,0.28879383
48,0.28447318
49,0.2849166
50,0.28525746
51,0.2855809
52,0.28632292
53,0.28710175
54,0.28777158
55,0.28908214
