cluster,values
12,0.004937697
13,0.0049421787
14,0.004949357
15,0.0049571996
16,0.004967201
17,0.0049851853
18,0.99509513
19,0.9951042
20,0.9951141
21,0.9951225
22,0.99499476
23,0.99502736
24,0.99505377
25,0.99507445
26,0.9950062
27,0.99503565
28,0.995059
29,0.99507684
30,0.9950918
31,0.99473876
32,0.9948525
33,0.9949274
34,0.9949786
35,0.9950178
36,0.9948489
37,0.99506325
38,0.9951174
39,0.9951381
40,0.99514824
41,0.9951538
42,0.9951568
43,0.99457306
44,0.99501836
45,0.9951015
46,0.99512875
47,0.9951426
48,0.99515
49,0.99515355
50,0.9951557
51,0.99515706
52,0.995158
53,0.995159
54,0.99515957
55,0.9951617
