cluster,values
1,0.5400984
2,0.55275327
3,0.56125206
4,0.5709823
5,0.5790149
6,0.5858888
7,0.59312135
8,0.5996114
9,0.6053103
10,0.6095583
11,0.6125711
12,0.5897668
13,0.58912283
14,0.59405637
15,0.6009202
16,0.60733974
17,0.6124003
18,0.43884096
19,0.4441913
20,0.4593479
21,0.4757859
26,0.46533206
27,0.47816285
28,0.4965173
29,0.51566666
30,0.53462815
31,0.5469605
32,0.5594764
33,0.5739302
34,0.5865716
35,0.5973488
36,0.53710026
37,0.58318293
38,0.6010697
39,0.61063063
40,0.61706275
41,0.62750024
42,0.6280756
43,0.49048793
44,0.55886453
45,0.58849347
46,0.5987597
47,0.60541195
48,0.6112364
49,0.614992
50,0.61752087
51,0.6193299
52,0.6210453
53,0.62040013
54,0.62103087
55,0.62536776
