cluster,values
1,0.6541832
2,0.6180061
3,0.57929105
4,0.53384304
5,0.49024197
6,0.45140746
7,0.41757578
8,0.38962567
9,0.36805275
10,0.3510158
11,0.33755022
12,0.48228297
13,0.43995336
14,0.40406412
15,0.3750888
16,0.3576527
17,0.34673855
18,0.78296715
19,0.77629155
20,0.77660424
21,0.7768579
22,0.78705126
23,0.78197914
24,0.7829025
25,0.78372633
26,0.78569573
27,0.78064495
28,0.7805218
29,0.7799663
30,0.77854776
36,0.7440139
37,0.6309263
38,0.43374157
39,0.3258751
40,0.28827336
41,0.28501937
42,0.27608216
43,0.7171342
44,0.54780364
45,0.3565399
46,0.28943166
47,0.26831347
48,0.25757182
49,0.25223297
50,0.24947758
51,0.24876033
52,0.24993934
53,0.25134662
54,0.2502401
55,0.25607374
