cluster,values
1,0.9956149
2,0.9956091
3,0.9956039
4,0.99559695
5,0.9955918
6,0.9955817
7,0.99556667
8,0.99554354
9,0.9955051
10,0.9954301
11,0.9952409
12,0.9955959
13,0.99558
14,0.9955571
15,0.99551815
16,0.99545246
17,0.9953111
22,0.004701631
23,0.0045820023
24,0.0045295176
25,0.0045143245
26,0.99558985
27,0.9955721
28,0.9955467
29,0.9955082
30,0.99544024
31,0.99559695
32,0.9955771
33,0.99554646
34,0.9954965
35,0.99541557
36,0.99559337
37,0.99543434
38,0.014403285
39,0.00452659
40,0.0044632265
41,0.004504632
42,0.004500776
43,0.004694376
44,0.0045269765
45,0.00445821
46,0.00446175
47,0.0044456944
48,0.004444736
49,0.0044445125
50,0.0044428585
51,0.004442665
52,0.004444443
53,0.0044458825
54,0.0044455887
55,0.004454569
