cluster,values
1,0.98892015
2,0.98887247
3,0.9888138
4,0.98874295
5,0.98866
6,0.9885566
7,0.9884242
8,0.98825246
9,0.9880257
10,0.9877203
11,0.98729867
12,0.9883972
13,0.98821324
14,0.9879754
15,0.98765904
16,0.98721445
17,0.9865708
18,0.9887989
19,0.9887212
20,0.98863876
21,0.9885262
26,0.9882111
27,0.98796797
28,0.98764837
29,0.9872055
30,0.9865609
31,0.9884941
32,0.9883384
33,0.98814535
34,0.9878884
35,0.9875321
36,0.9178655
37,0.045791022
38,0.013682694
39,0.011404267
40,0.0108567765
41,0.010677859
42,0.010579275
43,0.06842879
44,0.014363942
45,0.011486255
46,0.010866649
47,0.010644724
48,0.010543881
49,0.010490794
50,0.010460129
51,0.010441509
52,0.0104300855
53,0.010423088
54,0.0104193315
55,0.010416273
