cluster,values
12,0.0026230272
13,0.0026136988
14,0.00260511
15,0.0026018163
16,0.0026085067
17,0.0026162013
18,0.9974638
19,0.99744606
20,0.99744487
21,0.9974573
22,0.9975172
23,0.9975019
24,0.9975025
25,0.99751484
26,0.9975394
27,0.99752945
28,0.9975224
29,0.9975305
30,0.99753857
31,0.9975128
32,0.99750143
33,0.9974909
34,0.9974969
35,0.9975057
36,0.0026024117
37,0.002594448
38,0.0025872225
39,0.002585975
40,0.0025904013
41,0.00263847
42,0.002638234
43,0.9975823
44,0.9975823
45,0.9975501
46,0.99755234
47,0.997546
48,0.99754566
49,0.99754566
50,0.99754435
51,0.9975434
52,0.99754447
53,0.9975465
54,0.9975477
55,0.9975495
