cluster,values
12,0.2977282
13,0.2939067
14,0.2894924
15,0.28606343
16,0.28319383
17,0.2775501
18,0.8060856
19,0.8052743
20,0.8024078
21,0.798577
22,0.5383466
23,0.52276623
24,0.50396293
25,0.48427916
26,0.74822754
27,0.7426825
28,0.7353509
29,0.727598
30,0.7179575
31,0.78985614
32,0.7883439
33,0.78618944
34,0.7835314
35,0.7791322
36,0.79547006
37,0.78330696
38,0.76435333
39,0.73536533
40,0.6919023
41,0.6183828
42,0.54701096
43,0.23557214
44,0.22949786
45,0.23321536
46,0.23120858
47,0.22848791
48,0.22658534
49,0.22576706
50,0.22523318
51,0.22498053
52,0.22476284
53,0.22439869
54,0.22429246
55,0.22333972
