cluster,values
1,0.7222878
2,0.7498187
3,0.7680239
4,0.78132266
5,0.79121375
6,0.79875535
7,0.80458415
8,0.80896795
9,0.8127853
10,0.81584847
11,0.8175279
12,0.7145078
13,0.745706
14,0.76770765
15,0.7837734
16,0.79555947
17,0.803588
22,0.7299669
23,0.76050794
24,0.7793113
25,0.792183
26,0.77404153
27,0.78618264
28,0.795516
29,0.80397344
30,0.80971766
31,0.73892665
32,0.7623792
33,0.77940565
34,0.79296714
35,0.8021417
36,0.7141124
37,0.795466
38,0.8110967
39,0.8171462
40,0.8211873
41,0.8093633
42,0.8098892
43,0.6822149
44,0.77791756
45,0.81529224
46,0.81425244
47,0.81770766
48,0.81849205
49,0.81979513
50,0.82111955
51,0.8223046
52,0.82361263
53,0.8245019
54,0.8257061
55,0.82607764
