cluster,values
1,0.6698937
2,0.67380774
3,0.6776147
4,0.6811922
5,0.6845952
6,0.6878911
7,0.6909963
8,0.6939557
9,0.6967204
10,0.6992111
11,0.7015235
12,0.6564769
13,0.66088283
14,0.6651271
15,0.66931653
16,0.6732905
17,0.6766679
18,0.703115
19,0.7062207
20,0.70880866
21,0.7110131
22,0.6832061
23,0.6871653
24,0.69046247
25,0.6933662
26,0.7005484
27,0.7037355
28,0.70656717
29,0.7090975
30,0.7113686
31,0.64963025
32,0.65464795
33,0.6593972
34,0.6637605
35,0.66769564
43,0.64840657
44,0.6700979
45,0.6894659
46,0.702253
47,0.7125026
48,0.7199402
49,0.7256154
50,0.7300295
51,0.7334926
52,0.73623544
53,0.73838127
54,0.7400195
55,0.7411992
