cluster,values
1,0.36711895
2,0.38111147
3,0.38825345
4,0.40503216
5,0.42341876
6,0.440178
7,0.4608035
8,0.48161453
9,0.5061591
10,0.5360373
11,0.5671753
12,0.4711254
13,0.488727
14,0.50928915
15,0.52728325
16,0.5471834
17,0.58389133
18,0.44573846
19,0.4591102
20,0.48434055
21,0.5197437
22,0.59092414
23,0.6054456
24,0.6317053
25,0.6641991
31,0.8419069
32,0.84200627
33,0.8419949
34,0.840917
35,0.84314185
36,0.7773925
37,0.81212044
38,0.8319398
39,0.8426181
40,0.84993273
41,0.8700967
42,0.8724383
43,0.68973064
44,0.7716247
45,0.7886239
46,0.8186142
47,0.83389246
48,0.8446903
49,0.8509125
50,0.85394835
51,0.8558089
52,0.8578439
53,0.8613102
54,0.86240417
55,0.86990404
