cluster,values
1,0.69823503
2,0.6977931
3,0.7012416
4,0.70392627
5,0.7056109
6,0.7081714
7,0.7099905
8,0.71142185
9,0.71361154
10,0.7165149
11,0.71964264
18,0.66479325
19,0.66777956
20,0.67678225
21,0.6865529
22,0.668879
23,0.67243516
24,0.6809912
25,0.6904912
26,0.6704789
27,0.67254454
28,0.67697144
29,0.6830824
30,0.6908478
31,0.5931531
32,0.59387314
33,0.5993351
34,0.6091553
35,0.6199309
36,0.67342204
37,0.6886794
38,0.70030916
39,0.71043867
40,0.71851707
41,0.73537683
42,0.73873436
43,0.6727514
44,0.6866791
45,0.6763575
46,0.68889546
47,0.695126
48,0.70142597
49,0.7060058
50,0.7098213
51,0.7140545
52,0.71759605
53,0.7208195
54,0.7251409
55,0.7310319
