cluster,values
1,0.94550467
2,0.9455481
3,0.94559747
4,0.94555676
5,0.9456947
6,0.9456753
7,0.9456368
8,0.9456154
9,0.945698
10,0.9459482
11,0.94610673
12,0.9434327
13,0.94430256
14,0.9447354
15,0.944846
16,0.94511116
17,0.9457395
22,0.06806789
23,0.06803001
24,0.0695952
25,0.07389449
26,0.9452575
27,0.94528496
28,0.9452591
29,0.94537675
30,0.9458609
31,0.94365966
32,0.94445324
33,0.9447172
34,0.9447411
35,0.94533414
36,0.9416219
37,0.94538647
38,0.94574237
39,0.9457428
40,0.94588953
41,0.94780385
42,0.9478122
43,0.94341815
44,0.94718647
45,0.945902
46,0.9464131
47,0.9458109
48,0.94583046
49,0.94585484
50,0.9457897
51,0.94579154
52,0.9458902
53,0.94596624
54,0.94595426
55,0.9463725
