cluster,values
1,0.8493749
2,0.85113734
3,0.8522034
4,0.85334563
5,0.85430944
6,0.85524714
7,0.8565435
8,0.85781235
9,0.85901016
10,0.8601436
11,0.861191
12,0.8136135
13,0.8202042
14,0.82557297
15,0.8314753
16,0.8369678
17,0.8416833
18,0.8503959
19,0.85056424
20,0.8528895
21,0.8559583
22,0.80409247
23,0.8112268
24,0.8196798
25,0.8283722
26,0.8450943
27,0.8465645
28,0.8479113
29,0.8510782
30,0.85395724
31,0.15304284
32,0.15245418
33,0.15249859
34,0.15473184
35,0.15728338
43,0.843518
44,0.85639447
45,0.8576575
46,0.8613696
47,0.8623043
48,0.86333096
49,0.863988
50,0.86435467
51,0.8647408
52,0.86525285
53,0.86564356
54,0.8659219
55,0.8665565
