cluster,values
1,0.61484545
2,0.63489896
3,0.65125465
4,0.6677566
5,0.6835456
6,0.69792163
7,0.7121321
8,0.7251657
9,0.7370311
10,0.7476713
11,0.75712883
12,0.45575622
13,0.4759644
14,0.49723336
15,0.5206868
16,0.54882306
17,0.57813454
18,0.2930892
19,0.2966799
20,0.30693156
21,0.32545757
22,0.55371404
23,0.57010716
24,0.59373647
25,0.6237463
26,0.6005916
27,0.61763823
28,0.6347534
29,0.6584874
30,0.6811756
31,0.671755
32,0.68428504
33,0.6954968
34,0.71029043
35,0.7270638
36,0.66331923
37,0.73236984
38,0.7702353
39,0.79172194
40,0.8054933
41,0.82253563
42,0.827019
