cluster,values
1,0.8237786
2,0.8232534
3,0.82248336
4,0.82166743
5,0.82063675
6,0.8192366
7,0.81759924
8,0.8152126
9,0.8113505
10,0.8047189
11,0.7927054
12,0.82373834
13,0.82288474
14,0.82192135
15,0.82128143
16,0.82088625
17,0.82015383
22,0.8248303
23,0.82376766
24,0.82378036
25,0.82455105
26,0.8237077
27,0.8226093
28,0.8215096
29,0.8213952
30,0.8210076
31,0.82363087
32,0.8225206
33,0.8213193
34,0.82111293
35,0.82066685
36,0.82447165
37,0.824082
38,0.82330716
39,0.82131094
40,0.8080211
41,0.5382476
42,0.22431616
43,0.74337554
44,0.2669005
45,0.20451754
46,0.19805387
47,0.19580176
48,0.1952115
49,0.19500454
50,0.19485606
51,0.19481155
52,0.19496666
53,0.19517234
54,0.19536538
55,0.19579104
