cluster,values
1,0.022472305
2,0.021545168
3,0.020932868
4,0.020607213
5,0.020396352
6,0.020244123
7,0.020177063
8,0.020163875
9,0.020176033
10,0.020199781
11,0.020235386
12,0.02063201
13,0.020383403
14,0.020193899
15,0.020154014
16,0.020208249
17,0.020293452
18,0.9797417
19,0.9793991
20,0.97927684
21,0.9791996
22,0.9796863
23,0.9793124
24,0.9790411
25,0.97884196
31,0.9794012
32,0.97892463
33,0.9782138
34,0.9771264
35,0.9740365
36,0.975514
37,0.029575465
38,0.02055481
39,0.020115066
40,0.020078529
41,0.020680843
42,0.020659203
43,0.021832237
44,0.020884797
45,0.020020002
46,0.020045357
47,0.01995271
48,0.019927112
49,0.019920856
50,0.019905983
51,0.019908538
52,0.019948076
53,0.019986749
54,0.020016467
55,0.020134041
