2024-03-20 02:36:30,995 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: python_packages
2024-03-20 02:36:30,995 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: stop_status
2024-03-20 02:36:30,996 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: internal_messages
2024-03-20 02:36:30,999 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: stop_status
2024-03-20 02:36:31,223 DEBUG   SenderThread:1072124 [sender.py:send():378] send: telemetry
2024-03-20 02:36:31,341 INFO    Thread-12 :1072124 [dir_watcher.py:_on_file_modified():288] file/dir modified: /mnt/c/Users/tandf/OneDrive - 電気通信大学/Src/DVRL/wandb/run-20240320_023628-efunfbsn/files/conda-environment.yaml
2024-03-20 02:36:31,342 INFO    Thread-12 :1072124 [dir_watcher.py:_on_file_created():271] file/dir created: /mnt/c/Users/tandf/OneDrive - 電気通信大学/Src/DVRL/wandb/run-20240320_023628-efunfbsn/files/requirements.txt
2024-03-20 02:36:31,343 INFO    Thread-12 :1072124 [dir_watcher.py:_on_file_created():271] file/dir created: /mnt/c/Users/tandf/OneDrive - 電気通信大学/Src/DVRL/wandb/run-20240320_023628-efunfbsn/files/wandb-metadata.json
2024-03-20 02:36:31,453 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: partial_history
2024-03-20 02:36:31,457 DEBUG   SenderThread:1072124 [sender.py:send():378] send: history
2024-03-20 02:36:31,458 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: summary_record
2024-03-20 02:36:31,460 INFO    SenderThread:1072124 [sender.py:_save_file():1365] saving file wandb-summary.json with policy end
2024-03-20 02:36:31,461 DEBUG   SenderThread:1072124 [sender.py:send():378] send: alert
2024-03-20 02:36:31,894 DEBUG   SenderThread:1072124 [sender.py:send():378] send: telemetry
2024-03-20 02:36:31,895 DEBUG   SenderThread:1072124 [sender.py:send():378] send: exit
2024-03-20 02:36:31,896 INFO    SenderThread:1072124 [sender.py:send_exit():585] handling exit code: 0
2024-03-20 02:36:31,897 INFO    SenderThread:1072124 [sender.py:send_exit():587] handling runtime: 2
2024-03-20 02:36:31,904 INFO    SenderThread:1072124 [sender.py:_save_file():1365] saving file wandb-summary.json with policy end
2024-03-20 02:36:31,906 INFO    SenderThread:1072124 [sender.py:send_exit():593] send defer
2024-03-20 02:36:31,907 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: defer
2024-03-20 02:36:31,908 INFO    HandlerThread:1072124 [handler.py:handle_request_defer():172] handle defer: 0
2024-03-20 02:36:31,908 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: defer
2024-03-20 02:36:31,909 INFO    SenderThread:1072124 [sender.py:send_request_defer():609] handle sender defer: 0
2024-03-20 02:36:31,909 INFO    SenderThread:1072124 [sender.py:transition_state():613] send defer: 1
2024-03-20 02:36:31,910 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: defer
2024-03-20 02:36:31,911 INFO    HandlerThread:1072124 [handler.py:handle_request_defer():172] handle defer: 1
2024-03-20 02:36:31,911 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: defer
2024-03-20 02:36:31,912 INFO    SenderThread:1072124 [sender.py:send_request_defer():609] handle sender defer: 1
2024-03-20 02:36:31,913 INFO    SenderThread:1072124 [sender.py:transition_state():613] send defer: 2
2024-03-20 02:36:31,913 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: defer
2024-03-20 02:36:31,913 INFO    HandlerThread:1072124 [handler.py:handle_request_defer():172] handle defer: 2
2024-03-20 02:36:31,913 INFO    HandlerThread:1072124 [system_monitor.py:finish():203] Stopping system monitor
2024-03-20 02:36:31,914 DEBUG   SystemMonitor:1072124 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2024-03-20 02:36:31,914 INFO    HandlerThread:1072124 [interfaces.py:finish():202] Joined cpu monitor
2024-03-20 02:36:31,914 DEBUG   SystemMonitor:1072124 [system_monitor.py:_start():179] Finished system metrics aggregation loop
2024-03-20 02:36:31,915 INFO    HandlerThread:1072124 [interfaces.py:finish():202] Joined disk monitor
2024-03-20 02:36:31,915 DEBUG   SystemMonitor:1072124 [system_monitor.py:_start():183] Publishing last batch of metrics
2024-03-20 02:36:31,920 INFO    HandlerThread:1072124 [interfaces.py:finish():202] Joined gpu monitor
2024-03-20 02:36:31,920 INFO    HandlerThread:1072124 [interfaces.py:finish():202] Joined memory monitor
2024-03-20 02:36:31,920 INFO    HandlerThread:1072124 [interfaces.py:finish():202] Joined network monitor
2024-03-20 02:36:31,920 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: defer
2024-03-20 02:36:31,920 INFO    SenderThread:1072124 [sender.py:send_request_defer():609] handle sender defer: 2
2024-03-20 02:36:31,921 INFO    SenderThread:1072124 [sender.py:transition_state():613] send defer: 3
2024-03-20 02:36:31,921 DEBUG   SenderThread:1072124 [sender.py:send():378] send: stats
2024-03-20 02:36:31,921 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: defer
2024-03-20 02:36:31,921 INFO    HandlerThread:1072124 [handler.py:handle_request_defer():172] handle defer: 3
2024-03-20 02:36:31,921 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: defer
2024-03-20 02:36:31,921 INFO    SenderThread:1072124 [sender.py:send_request_defer():609] handle sender defer: 3
2024-03-20 02:36:31,921 INFO    SenderThread:1072124 [sender.py:transition_state():613] send defer: 4
2024-03-20 02:36:31,921 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: defer
2024-03-20 02:36:31,922 INFO    HandlerThread:1072124 [handler.py:handle_request_defer():172] handle defer: 4
2024-03-20 02:36:31,922 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: defer
2024-03-20 02:36:31,922 INFO    SenderThread:1072124 [sender.py:send_request_defer():609] handle sender defer: 4
2024-03-20 02:36:31,922 INFO    SenderThread:1072124 [sender.py:transition_state():613] send defer: 5
2024-03-20 02:36:31,922 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: defer
2024-03-20 02:36:31,922 INFO    HandlerThread:1072124 [handler.py:handle_request_defer():172] handle defer: 5
2024-03-20 02:36:31,922 DEBUG   SenderThread:1072124 [sender.py:send():378] send: summary
2024-03-20 02:36:31,923 INFO    SenderThread:1072124 [sender.py:_save_file():1365] saving file wandb-summary.json with policy end
2024-03-20 02:36:31,924 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: defer
2024-03-20 02:36:31,924 INFO    SenderThread:1072124 [sender.py:send_request_defer():609] handle sender defer: 5
2024-03-20 02:36:31,924 INFO    SenderThread:1072124 [sender.py:transition_state():613] send defer: 6
2024-03-20 02:36:31,924 DEBUG   HandlerThread:1072124 [handler.py:handle_request():146] handle_request: defer
2024-03-20 02:36:31,924 INFO    HandlerThread:1072124 [handler.py:handle_request_defer():172] handle defer: 6
2024-03-20 02:36:31,924 DEBUG   SenderThread:1072124 [sender.py:send_request():405] send_request: defer
2024-03-20 02:36:31,924 INFO    SenderThread:1072124 [sender.py:send_request_defer():609] handle sender defer: 6
