cluster,values
1,0.99
2,0.99
3,0.99
4,0.99
5,0.99
6,0.99
7,0.99
8,0.99
9,0.99
10,0.99
11,0.99
12,0.99
13,0.99
14,0.99
15,0.99
16,0.99
17,0.99
18,0.99
19,0.99
20,0.99
21,0.99
22,0.01
23,0.01
24,0.01
25,0.01
26,0.99
27,0.99
28,0.99
29,0.99
30,0.99
31,0.99
32,0.99
33,0.99
34,0.99
35,0.99
36,0.99
37,0.99
38,0.99
39,0.99
40,0.99
41,0.99
42,0.99
